@relation 'emploiFinal3 (1)'

@attribute ville {Casablanca,Rabat,'Meknès ',Salé,'Marrakech ',Benguerir,'Kenitra ',Agadir,'Fès ','Mohammedia ','Skhirat ',' Safi ','Tanger ','Sala al jadida',' Berrechid ','Oujda ','El Jadida ',Laayoune,'Tout le Maroc','AL HOCEIMA ','Bouskoura ','Errachidia ',' Ain Harrouda ',Guerssif}
@attribute entreprise {Leyton,'Sitel Group','Attijariwafa bank','Sofrecom Services Maroc',Omnishore,'Lydec et SUEZ','Deloitte Nearshore','ORH Assessment','Hit Radio',Richbond,Atos,'Webhelp Maroc',OBS,Umanis,Majorel,'Maroc Climate and Security (MCS) - Carrier','ARIA Tech','Université Mohammed VI Polytechnique',Msin,CDG,'ALTEN Maroc',Crouzet,Stellantis,Unifitel,'TNC  The Next Clic ','Label\'Vie - Carrefour Market','Excel Management Conseil','AXA Rabat (Axa Services)','La Brigade de Casa','Intelcia ITS','SQLI Maroc','INTM Mediterranée',Aria,'Manpower Agences',Altados,'Al Hoceinia','Adria Business & Technology','Fondation Marocaine pour la Promotion de l\'enseignement préScolaire',Opus.RH,Cnexia,Coficab,'DXC Technology Maroc','Epil Tech Maroc',Eumatech,Welink,Accytime,'AXA Group Operations Maroc','CGI Technologies et Solutions Maroc','HP SEARCH','Reactive Executive',Imacab,'Perenity Software',S3M,Ecolys,Madaef,'BMCI Groupe BNP Paribas','Oceane Consulting','Atlas Pharm','Eca Assurances','Meski Invest - Riva Industries','Leet initiative',Ventec,Preci,Novec,'Isossell Groupe','Econocom Maroc','Comdata Group','LCI Education','Université Internationale de Rabat',Coface,'HPS Maroc',Neosys,'Atlas On Line',Involys,Comicom,Maymana,'SMBL Food',Eqdom,TeamDEV,'Royale Marocaine d\'Assurance',Finéa,'TP-Link Morocco','APM Terminals','Alter Ipso','GO RH Maroc','La Marocaine vie',Mubawab.ma,'McDonald\'s Maroc','Winpa Phone','Bank Of Africa','Safran Nacelles','Foods and Goods',OCBM,'EnerGetic Link','O&D Services','Disty technologies','Auto Nejma Maroc S.A.','Aptiv Maroc  (ex Delphi)',CRIT,'Groupe ODM','CAC (Centrale Automobile Chérifienne)','Air Arabia','Ratp dev Casablanca','Société des Boissons du Maroc','Société Marocaine des Tabacs','Annour Technologies','AKKA Technologies','Sogea Maroc','ATOZMA Services','Consort Maroc','Groupe Adaming',FGT,'Digital Virgo',OFPPT,'Fonds d\'Equipement Communal (FEC)','Groupe Renault','Safran Engineering Services Maroc','Générale routière','Groupe Assu 2000',Karinvest,Alumetaux,'Rifl Biometrics','Fondation Arrawaj','Société de Développement Local Nouaceur Développement','A.LAZRAK Immobilier','KLK Khayatey Living','Pharma Pilot',Dekra}
@attribute secteur_act {' Aéronautique / Spatial',' Informatique',' Centre d\'appel',' Banque / Finance',' BTP / Génie Civil',' Autres services',' Audiovisuel',' Agence pub / Marketing Direct',' Conseil / Etudes',' Comptabilité / Audit',' Telecom',' Electro-mécanique / Mécanique',' Autres Industries',' Automobile / Motos / Cycles',' Offshoring / Nearshoring',' Distribution',' Assurance / Courtage',' Internet / Multimédia',' Recrutement / Intérim',' Cosmétique / Parfumerie / Luxe',' Energie',' Agriculture / Environnement',' Agroalimentaire',' Immobilier / Promoteur / Agence',' Enseignement / Formation',' Transport / Messagerie / Logistique',' Pharmacie / Santé',' Juridique / Cabinet d’avocats',' Métallurgie / Sidérurgie'}
@attribute fonction {' Méthodes / Process / Industrialisation',' Gestion projet / Etudes / R&D',' Administration des ventes / SAV',' Banque',' Call Centers',' Informatique / Electronique',' Communication / Publicité / RP',' Télécoms / Réseaux',' Informatique / Electronique / Multimédia / Internet',' RH / Personnel / Formation',' Avocat / Juriste / Fiscaliste',' Gestion / Comptabilité / Finance',' Logistique / Transport',' Audit / Conseil',' Commercial / Vente / Export',' Achats / Supply Chain',' Marketing',' Assurance',' Immobilier / Promotion',' Journalisme / Traduction',' Distribution',' Production / Qualité / Sécurité / Maintenance',' Assistanat de Direction / Services Généraux',' Travaux / Chantiers / BTP',' Agriculture',' Caméraman / Monteur / Preneur de son',' Environnement',' Enseignement',' Santé / Social',' Multimédia / Internet',' Hôtellerie / Restauration',' Médical / Paramédical'}
@attribute experience {' De 1 à 3 ans',' Moins de 1 an',' De 5 à 10 ans',' De 10 à 20 ans',' De 3 à 5 ans',' Débutant'}
@attribute niv_etude {' Bac +4',' Bac +5 et plus',' Bac',' Bac +2',' Bac +3',' Qualification avant Bac',' Autodidacte',' Bac +1'}
@attribute contrat {' CDI',' Stage',' Autre',' CDD',' Freelance'}
@attribute titre {'Ingénieur ','Conseiller Technique ','Conseiller Client',Analyste,Responsable,'Chef de Projet ','Operations Manager ','Ingénieur Java J2EE','Architecte IT','Team Lead ',Auditeur,'Chargé de Communication ',Stagiaire,'Infographiste ','Développeur ','Ingénieur infrastructure',Consultant,'Ingénieur Support Applicatif',Technicien,'Tech Lead','Responsable RH ','Téléconseiller ','Ingénieur Etude et Développement','Administrateur IT','Conseiller Commercial ',Commercial,'Juriste ','Conseiller en Assurance',Comptable,'Ingénieur Testeur','Chargé Administratif',Coordinateur,'Gestionnaire ',Assistant,'Chef de projet IT ',Acheteur,'Expert Technique ','Ingénieur Informatique ',Manager,'Formateur ','Ingénieur DevOps ','Ingénieur Réseau et Sécurité','Concepteur Développeur ','Contrôleur de Gestion','Scrum Master ','Référent technique ','Consultant IT',Journaliste,'Chargé de Développement','Chargé de Sécurité ','Opérateur Agricole ','Responsable régional ','Directeur ','Responsable Commercial','Chargé de Recouvrement','Chargés d\'Etudes','Responsable Marketing ',Cadre,'Responsable IT ','Chargé d\'Affaires ','Responsable Administratif ','Animateur ','Community Manager ','Infirmier ','Chef d\'équipe ','Administrateur des ventes','Contrôleur ','Chargé de Mission ','Chargé d\'Approvisionnement','Chef de Service ','Expert UX/UI ','Responsable maintenance ','Ingénieur Système','Business Process Owner ','Professeur ','Délégué médical','Responsable Achats ','Chargé des Relations Entreprises','Agent de facturation ','Hôtesse d\'Accueil ','Enseignant de sport polyvalent ','Dessinateur industriel ','Chef Atelier'}

@data
Casablanca,Majorel,' Centre d\'appel',' Call Centers',' Débutant',' Bac',' CDI','Conseiller en Assurance'
Casablanca,Majorel,' Centre d\'appel',' Call Centers',' Débutant',' Bac',' CDI','Conseiller Client'
Casablanca,Majorel,' Centre d\'appel',' Call Centers',' Débutant',' Bac',' CDD','Conseiller Client'
Rabat,'Webhelp Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Sitel Group',' Centre d\'appel',' Gestion / Comptabilité / Finance',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Comptable
Casablanca,'Maroc Climate and Security (MCS) - Carrier',' Conseil / Etudes',' RH / Personnel / Formation',' Débutant',' Bac +4',' Stage','Responsable RH '
Casablanca,'Maroc Climate and Security (MCS) - Carrier',' Autres services',' Informatique / Electronique / Multimédia / Internet',' Débutant',' Bac +4',' Stage',Stagiaire
Casablanca,'ARIA Tech',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,'ARIA Tech',' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Rabat,'Webhelp Maroc',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur '
Rabat,'Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 3 à 5 ans',' Bac +2',' CDI','Chargé Administratif'
Rabat,'Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 3 à 5 ans',' Bac +2',' CDI',Responsable
Benguerir,'Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Coordinateur
'Marrakech ','Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Coordinateur
Rabat,'Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 5 à 10 ans',' Bac +3',' CDI','Gestionnaire '
Rabat,'Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 3 à 5 ans',' Bac +3',' CDI',Coordinateur
Rabat,'Université Mohammed VI Polytechnique',' Autres services',' Logistique / Transport',' De 3 à 5 ans',' Bac +3',' CDI',Assistant
Casablanca,Msin,' Banque / Finance',' Gestion / Comptabilité / Finance',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Analyste
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,CDG,' Banque / Finance',' Audit / Conseil',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Auditeur
'Kenitra ','Webhelp Maroc',' Centre d\'appel',' Call Centers',' Débutant',' Bac',' CDI','Conseiller Commercial '
Agadir,'Webhelp Maroc',' Centre d\'appel',' Call Centers',' Débutant',' Bac',' CDI',Commercial
Rabat,'Webhelp Maroc',' Comptabilité / Audit',' Gestion / Comptabilité / Finance',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Comptable
Rabat,'Webhelp Maroc',' Centre d\'appel',' Call Centers',' Débutant',' Bac',' Autre','Conseiller Commercial '
'Fès ','ALTEN Maroc',' Telecom',' Télécoms / Réseaux',' Débutant',' Bac +4',' Autre','Ingénieur Support Applicatif'
'Marrakech ','Webhelp Maroc',' Centre d\'appel',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +3',' CDI','Responsable RH '
Casablanca,Crouzet,' Electro-mécanique / Mécanique',' Commercial / Vente / Export',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Etude et Développement'
Casablanca,'Attijariwafa bank',' Banque / Finance',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Tech Lead'
Casablanca,Richbond,' Autres Industries',' Achats / Supply Chain',' De 1 à 3 ans',' Bac +5 et plus',' CDI',Acheteur
'Mohammedia ',Richbond,' Autres Industries',' Logistique / Transport',' De 1 à 3 ans',' Bac +3',' CDI','Gestionnaire '
Rabat,OBS,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur infrastructure'
Rabat,OBS,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Télécoms / Réseaux',' De 10 à 20 ans',' Bac +5 et plus',' CDI','Expert Technique '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Télécoms / Réseaux',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Informatique '
Rabat,OBS,' Informatique',' Informatique / Electronique / Multimédia / Internet',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur infrastructure'
Rabat,OBS,' Informatique',' Télécoms / Réseaux',' De 3 à 5 ans',' Bac +5 et plus',' CDI',Manager
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur '
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur '
Casablanca,'Attijariwafa bank',' Banque / Finance',' Télécoms / Réseaux',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Team Lead '
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Expert Technique '
'Kenitra ',Stellantis,' Automobile / Motos / Cycles',' RH / Personnel / Formation',' De 5 à 10 ans',' Bac +3',' CDI',Manager
Rabat,OBS,' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Développeur '
Casablanca,Unifitel,' Centre d\'appel',' Call Centers',' De 3 à 5 ans',' Bac +2',' CDI',Analyste
Casablanca,Unifitel,' Offshoring / Nearshoring',' Call Centers',' De 3 à 5 ans',' Bac +2',' CDI',Manager
Casablanca,Leyton,' Conseil / Etudes',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Responsable RH '
Casablanca,Leyton,' Conseil / Etudes',' RH / Personnel / Formation',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Responsable RH '
Casablanca,'Sofrecom Services Maroc',' Informatique',' Informatique / Electronique',' De 1 à 3 ans',' Bac +5 et plus',' CDI','Ingénieur Testeur'
Casablanca,'TNC  The Next Clic ',' Agence pub / Marketing Direct',' Marketing',' Débutant',' Bac +4',' Stage','Chargé de Communication '
Casablanca,'Deloitte Nearshore',' Informatique',' Informatique / Electronique',' Moins de 1 an',' Bac +5 et plus',' CDI','Responsable RH '
'Skhirat ','Label\'Vie - Carrefour Market',' Distribution',' RH / Personnel / Formation',' Moins de 1 an',' Bac +5 et plus',' CDI','Formateur '
Rabat,'Excel Management Conseil',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Ingénieur DevOps '
Rabat,'Excel Management Conseil',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Ingénieur Réseau et Sécurité'
Casablanca,Majorel,' Autres services',' Avocat / Juriste / Fiscaliste',' De 5 à 10 ans',' Bac +5 et plus',' CDI','Juriste '
Rabat,'AXA Rabat (Axa Services)',' Assurance / Courtage',' Call Centers',' De 5 à 10 ans',' Bac +2',' CDI',Manager
Casablanca,'La Brigade de Casa',' Agence pub / Marketing Direct',' Commercial / Vente / Export',' De 1 à 3 ans',' Bac',' CDI',Commercial
Casablanca,'Intelcia ITS',' Informatique',' RH / Personnel / Formation',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Responsable RH '
Casablanca,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de projet IT '
Casablanca,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 5 à 10 ans',' Bac +5 et plus',' CDI',Manager
Casablanca,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Administrateur IT'
Rabat,'Intelcia ITS',' Informatique',' Informatique / Electronique',' De 3 à 5 ans',' Bac +5 et plus',' CDI','Chef de Projet '
